identity,species,leakage_aware_split,image_count
AAUZebraFish_1,fish,train,55
AAUZebraFish_2,fish,train,55
AAUZebraFish_3,fish,test,55
AAUZebraFish_4,fish,train,57
AAUZebraFish_5,fish,validation,57
AAUZebraFish_6,fish,train,57
ATRW_0,tiger,test,12
ATRW_1,tiger,train,10
ATRW_10,tiger,validation,36
ATRW_100,tiger,train,21
ATRW_102,tiger,test,28
ATRW_103,tiger,validation,30
ATRW_105,tiger,train,34
ATRW_106,tiger,test,17
ATRW_108,tiger,test,14
ATRW_109,tiger,train,10
ATRW_111,tiger,train,50
ATRW_112,tiger,train,28
ATRW_114,tiger,train,14
ATRW_115,tiger,test,11
ATRW_117,tiger,train,11
ATRW_118,tiger,test,22
ATRW_12,tiger,train,11
ATRW_120,tiger,train,24
ATRW_121,tiger,train,26
ATRW_123,tiger,train,20
ATRW_124,tiger,train,12
ATRW_126,tiger,train,12
ATRW_127,tiger,train,26
ATRW_129,tiger,train,10
ATRW_13,tiger,validation,14
ATRW_130,tiger,train,11
ATRW_132,tiger,train,10
ATRW_133,tiger,train,32
ATRW_135,tiger,test,80
ATRW_136,tiger,train,38
ATRW_138,tiger,train,44
ATRW_139,tiger,train,11
ATRW_141,tiger,train,26
ATRW_142,tiger,validation,13
ATRW_144,tiger,train,48
ATRW_145,tiger,train,16
ATRW_147,tiger,test,34
ATRW_148,tiger,test,10
ATRW_15,tiger,validation,28
ATRW_150,tiger,train,22
ATRW_151,tiger,train,11
ATRW_153,tiger,train,98
ATRW_154,tiger,validation,49
ATRW_156,tiger,test,164
ATRW_157,tiger,test,130
ATRW_159,tiger,validation,224
ATRW_16,tiger,train,44
ATRW_160,tiger,train,97
ATRW_162,tiger,train,250
ATRW_163,tiger,test,142
ATRW_165,tiger,train,74
ATRW_166,tiger,train,158
ATRW_168,tiger,train,28
ATRW_169,tiger,test,56
ATRW_171,tiger,train,16
ATRW_172,tiger,train,30
ATRW_174,tiger,train,48
ATRW_175,tiger,train,20
ATRW_177,tiger,test,14
ATRW_178,tiger,train,14
ATRW_18,tiger,train,64
ATRW_180,tiger,train,26
ATRW_181,tiger,train,12
ATRW_183,tiger,train,20
ATRW_184,tiger,train,46
ATRW_186,tiger,validation,20
ATRW_187,tiger,train,10
ATRW_189,tiger,train,22
ATRW_19,tiger,train,42
ATRW_190,tiger,train,36
ATRW_192,tiger,train,22
ATRW_193,tiger,train,22
ATRW_195,tiger,validation,10
ATRW_196,tiger,train,11
ATRW_198,tiger,train,10
ATRW_199,tiger,train,20
ATRW_201,tiger,train,17
ATRW_202,tiger,train,18
ATRW_204,tiger,validation,20
ATRW_205,tiger,train,24
ATRW_207,tiger,test,22
ATRW_208,tiger,train,10
ATRW_21,tiger,validation,26
ATRW_210,tiger,validation,22
ATRW_211,tiger,train,12
ATRW_213,tiger,train,11
ATRW_214,tiger,train,22
ATRW_216,tiger,train,10
ATRW_217,tiger,train,14
ATRW_219,tiger,train,28
ATRW_22,tiger,train,14
ATRW_220,tiger,validation,11
ATRW_222,tiger,train,11
ATRW_223,tiger,train,14
ATRW_225,tiger,test,24
ATRW_226,tiger,train,10
ATRW_228,tiger,test,12
ATRW_229,tiger,train,12
ATRW_231,tiger,train,26
ATRW_232,tiger,validation,20
ATRW_234,tiger,train,98
ATRW_235,tiger,train,96
ATRW_237,tiger,train,37
ATRW_238,tiger,train,22
ATRW_24,tiger,train,11
ATRW_240,tiger,train,16
ATRW_243,tiger,train,41
ATRW_244,tiger,test,23
ATRW_246,tiger,train,48
ATRW_247,tiger,validation,33
ATRW_249,tiger,train,37
ATRW_25,tiger,train,12
ATRW_250,tiger,train,18
ATRW_252,tiger,test,12
ATRW_253,tiger,test,14
ATRW_255,tiger,test,15
ATRW_256,tiger,train,20
ATRW_258,tiger,train,50
ATRW_259,tiger,test,16
ATRW_261,tiger,train,28
ATRW_262,tiger,validation,70
ATRW_264,tiger,train,26
ATRW_265,tiger,train,38
ATRW_267,tiger,train,23
ATRW_268,tiger,train,27
ATRW_27,tiger,validation,10
ATRW_270,tiger,test,94
ATRW_271,tiger,validation,14
ATRW_273,tiger,validation,16
ATRW_274,tiger,train,13
ATRW_28,tiger,train,11
ATRW_3,tiger,train,20
ATRW_30,tiger,train,13
ATRW_31,tiger,train,22
ATRW_33,tiger,train,11
ATRW_34,tiger,train,10
ATRW_36,tiger,train,20
ATRW_37,tiger,train,22
ATRW_39,tiger,test,12
ATRW_4,tiger,train,26
ATRW_40,tiger,train,14
ATRW_42,tiger,train,10
ATRW_43,tiger,train,14
ATRW_45,tiger,validation,12
ATRW_46,tiger,test,22
ATRW_48,tiger,train,72
ATRW_49,tiger,train,20
ATRW_51,tiger,train,10
ATRW_52,tiger,test,20
ATRW_54,tiger,validation,19
ATRW_55,tiger,validation,22
ATRW_57,tiger,validation,13
ATRW_6,tiger,train,14
ATRW_60,tiger,train,11
ATRW_61,tiger,train,32
ATRW_63,tiger,train,36
ATRW_64,tiger,train,18
ATRW_66,tiger,validation,19
ATRW_67,tiger,train,10
ATRW_69,tiger,train,12
ATRW_7,tiger,validation,48
ATRW_70,tiger,train,24
ATRW_72,tiger,train,13
ATRW_73,tiger,train,58
ATRW_75,tiger,train,22
ATRW_76,tiger,train,11
ATRW_78,tiger,test,13
ATRW_79,tiger,train,24
ATRW_81,tiger,train,11
ATRW_82,tiger,train,12
ATRW_84,tiger,train,22
ATRW_85,tiger,train,11
ATRW_87,tiger,test,42
ATRW_88,tiger,train,11
