species,train_images,train_identities,validation_images,validation_identities,test_images,test_identities
bird,1742,35,394,7,491,8
cat,8915,356,2004,74,1878,76
chicken,782,35,181,7,183,8
chimpanzee,4712,74,1004,16,1258,16
cow,15629,325,4241,70,3595,70
dog,7077,1108,1392,238,1551,238
dolphin,1826,57,453,12,378,13
fish,224,4,57,1,55,1
giraffe,1426,229,275,49,301,50
hyena,2250,179,519,38,360,39
leopard,4263,301,814,64,1729,65
macaque,790,39,158,9,131,9
nyala,1309,165,259,36,374,36
panda,4330,35,1027,7,1517,8
polar bear,948,9,218,2,225,2
sea star,1499,66,360,14,328,15
sea turtle,15507,2049,3500,439,3702,440
seal,1327,39,314,9,439,9
tiger,3518,127,822,27,1075,28
whale,5855,551,1390,118,1314,119
whaleshark,5665,380,1013,81,1015,82
zebra,5833,1369,1262,293,1279,294
