identity,species,experiment_split,image_count
AAUZebraFish_1,fish,test,9
AAUZebraFish_1,fish,train,39
AAUZebraFish_1,fish,validation,7
AAUZebraFish_2,fish,test,55
AAUZebraFish_3,fish,test,9
AAUZebraFish_3,fish,train,42
AAUZebraFish_3,fish,validation,4
AAUZebraFish_4,fish,test,9
AAUZebraFish_4,fish,train,38
AAUZebraFish_4,fish,validation,10
AAUZebraFish_5,fish,test,9
AAUZebraFish_5,fish,train,39
AAUZebraFish_5,fish,validation,9
AAUZebraFish_6,fish,test,9
AAUZebraFish_6,fish,train,43
AAUZebraFish_6,fish,validation,5
ATRW_0,tiger,test,2
ATRW_0,tiger,train,7
ATRW_0,tiger,validation,3
ATRW_1,tiger,test,2
ATRW_1,tiger,train,6
ATRW_1,tiger,validation,2
ATRW_10,tiger,test,6
ATRW_10,tiger,train,24
ATRW_10,tiger,validation,6
ATRW_100,tiger,test,3
ATRW_100,tiger,train,17
ATRW_100,tiger,validation,1
ATRW_102,tiger,test,4
ATRW_102,tiger,train,19
ATRW_102,tiger,validation,5
ATRW_103,tiger,test,5
ATRW_103,tiger,train,24
ATRW_103,tiger,validation,1
ATRW_105,tiger,test,5
ATRW_105,tiger,train,27
ATRW_105,tiger,validation,2
ATRW_106,tiger,test,3
ATRW_106,tiger,train,13
ATRW_106,tiger,validation,1
ATRW_108,tiger,test,2
ATRW_108,tiger,train,12
ATRW_109,tiger,test,2
ATRW_109,tiger,train,8
ATRW_111,tiger,test,8
ATRW_111,tiger,train,35
ATRW_111,tiger,validation,7
ATRW_112,tiger,test,4
ATRW_112,tiger,train,22
ATRW_112,tiger,validation,2
ATRW_114,tiger,test,2
ATRW_114,tiger,train,12
ATRW_115,tiger,test,2
ATRW_115,tiger,train,9
ATRW_117,tiger,test,2
ATRW_117,tiger,train,6
ATRW_117,tiger,validation,3
ATRW_118,tiger,test,22
ATRW_12,tiger,test,11
ATRW_120,tiger,test,4
ATRW_120,tiger,train,17
ATRW_120,tiger,validation,3
ATRW_121,tiger,test,4
ATRW_121,tiger,train,17
ATRW_121,tiger,validation,5
ATRW_123,tiger,test,3
ATRW_123,tiger,train,14
ATRW_123,tiger,validation,3
ATRW_124,tiger,test,2
ATRW_124,tiger,train,8
ATRW_124,tiger,validation,2
ATRW_126,tiger,test,2
ATRW_126,tiger,train,7
ATRW_126,tiger,validation,3
ATRW_127,tiger,test,4
ATRW_127,tiger,train,18
ATRW_127,tiger,validation,4
ATRW_129,tiger,test,2
ATRW_129,tiger,train,6
ATRW_129,tiger,validation,2
ATRW_13,tiger,test,2
ATRW_13,tiger,train,12
ATRW_130,tiger,test,2
ATRW_130,tiger,train,8
ATRW_130,tiger,validation,1
ATRW_132,tiger,test,2
ATRW_132,tiger,train,8
ATRW_133,tiger,test,5
ATRW_133,tiger,train,21
ATRW_133,tiger,validation,6
ATRW_135,tiger,test,12
ATRW_135,tiger,train,62
ATRW_135,tiger,validation,6
ATRW_136,tiger,test,6
ATRW_136,tiger,train,24
ATRW_136,tiger,validation,8
ATRW_138,tiger,test,7
ATRW_138,tiger,train,31
ATRW_138,tiger,validation,6
ATRW_139,tiger,test,2
ATRW_139,tiger,train,8
ATRW_139,tiger,validation,1
ATRW_141,tiger,test,4
ATRW_141,tiger,train,17
ATRW_141,tiger,validation,5
ATRW_142,tiger,test,2
ATRW_142,tiger,train,8
ATRW_142,tiger,validation,3
ATRW_144,tiger,test,7
ATRW_144,tiger,train,36
ATRW_144,tiger,validation,5
ATRW_145,tiger,test,2
ATRW_145,tiger,train,12
ATRW_145,tiger,validation,2
ATRW_147,tiger,test,5
ATRW_147,tiger,train,25
ATRW_147,tiger,validation,4
ATRW_148,tiger,test,2
ATRW_148,tiger,train,8
ATRW_15,tiger,test,4
ATRW_15,tiger,train,20
ATRW_15,tiger,validation,4
ATRW_150,tiger,test,3
ATRW_150,tiger,train,15
ATRW_150,tiger,validation,4
ATRW_151,tiger,test,2
ATRW_151,tiger,train,9
ATRW_153,tiger,test,15
ATRW_153,tiger,train,72
ATRW_153,tiger,validation,11
ATRW_154,tiger,test,8
ATRW_154,tiger,train,34
ATRW_154,tiger,validation,7
ATRW_156,tiger,test,25
ATRW_156,tiger,train,120
ATRW_156,tiger,validation,19
ATRW_157,tiger,test,20
ATRW_157,tiger,train,91
ATRW_157,tiger,validation,19
ATRW_159,tiger,test,34
ATRW_159,tiger,train,155
ATRW_159,tiger,validation,35
ATRW_16,tiger,test,7
ATRW_16,tiger,train,31
ATRW_16,tiger,validation,6
ATRW_160,tiger,test,15
ATRW_160,tiger,train,73
ATRW_160,tiger,validation,9
ATRW_162,tiger,test,38
ATRW_162,tiger,train,186
ATRW_162,tiger,validation,26
ATRW_163,tiger,test,22
ATRW_163,tiger,train,97
ATRW_163,tiger,validation,23
ATRW_165,tiger,test,11
ATRW_165,tiger,train,56
ATRW_165,tiger,validation,7
ATRW_166,tiger,test,24
ATRW_166,tiger,train,109
ATRW_166,tiger,validation,25
ATRW_168,tiger,test,4
ATRW_168,tiger,train,21
ATRW_168,tiger,validation,3
ATRW_169,tiger,test,9
ATRW_169,tiger,train,39
ATRW_169,tiger,validation,8
ATRW_171,tiger,test,2
ATRW_171,tiger,train,13
ATRW_171,tiger,validation,1
ATRW_172,tiger,test,5
ATRW_172,tiger,train,20
ATRW_172,tiger,validation,5
ATRW_174,tiger,test,7
ATRW_174,tiger,train,36
ATRW_174,tiger,validation,5
ATRW_175,tiger,test,3
ATRW_175,tiger,train,13
ATRW_175,tiger,validation,4
ATRW_177,tiger,test,2
ATRW_177,tiger,train,11
ATRW_177,tiger,validation,1
ATRW_178,tiger,test,2
ATRW_178,tiger,train,8
ATRW_178,tiger,validation,4
ATRW_18,tiger,test,10
ATRW_18,tiger,train,46
ATRW_18,tiger,validation,8
ATRW_180,tiger,test,4
ATRW_180,tiger,train,20
ATRW_180,tiger,validation,2
ATRW_181,tiger,test,12
ATRW_183,tiger,test,3
ATRW_183,tiger,train,13
ATRW_183,tiger,validation,4
ATRW_184,tiger,test,7
ATRW_184,tiger,train,31
ATRW_184,tiger,validation,8
ATRW_186,tiger,test,3
ATRW_186,tiger,train,16
ATRW_186,tiger,validation,1
ATRW_187,tiger,test,2
ATRW_187,tiger,train,7
ATRW_187,tiger,validation,1
ATRW_189,tiger,test,3
ATRW_189,tiger,train,17
ATRW_189,tiger,validation,2
ATRW_19,tiger,test,6
ATRW_19,tiger,train,31
ATRW_19,tiger,validation,5
ATRW_190,tiger,test,6
ATRW_190,tiger,train,24
ATRW_190,tiger,validation,6
ATRW_192,tiger,test,3
ATRW_192,tiger,train,15
ATRW_192,tiger,validation,4
ATRW_193,tiger,test,3
ATRW_193,tiger,train,16
ATRW_193,tiger,validation,3
ATRW_195,tiger,test,2
ATRW_195,tiger,train,7
ATRW_195,tiger,validation,1
ATRW_196,tiger,test,2
ATRW_196,tiger,train,7
ATRW_196,tiger,validation,2
ATRW_198,tiger,test,2
ATRW_198,tiger,train,7
ATRW_198,tiger,validation,1
ATRW_199,tiger,test,3
ATRW_199,tiger,train,16
ATRW_199,tiger,validation,1
ATRW_201,tiger,test,3
ATRW_201,tiger,train,11
ATRW_201,tiger,validation,3
ATRW_202,tiger,test,3
ATRW_202,tiger,train,11
ATRW_202,tiger,validation,4
ATRW_204,tiger,test,3
ATRW_204,tiger,train,15
ATRW_204,tiger,validation,2
ATRW_205,tiger,test,4
ATRW_205,tiger,train,16
ATRW_205,tiger,validation,4
ATRW_207,tiger,test,3
ATRW_207,tiger,train,17
ATRW_207,tiger,validation,2
ATRW_208,tiger,test,2
ATRW_208,tiger,train,7
ATRW_208,tiger,validation,1
ATRW_21,tiger,test,4
ATRW_21,tiger,train,20
ATRW_21,tiger,validation,2
ATRW_210,tiger,test,3
ATRW_210,tiger,train,13
ATRW_210,tiger,validation,6
ATRW_211,tiger,test,2
ATRW_211,tiger,train,10
ATRW_213,tiger,test,2
ATRW_213,tiger,train,6
ATRW_213,tiger,validation,3
ATRW_214,tiger,test,3
ATRW_214,tiger,train,19
ATRW_216,tiger,test,2
ATRW_216,tiger,train,8
ATRW_217,tiger,test,2
ATRW_217,tiger,train,9
ATRW_217,tiger,validation,3
ATRW_219,tiger,test,4
ATRW_219,tiger,train,19
ATRW_219,tiger,validation,5
ATRW_22,tiger,test,2
ATRW_22,tiger,train,10
ATRW_22,tiger,validation,2
ATRW_220,tiger,test,2
ATRW_220,tiger,train,8
ATRW_220,tiger,validation,1
ATRW_222,tiger,test,2
ATRW_222,tiger,train,8
ATRW_222,tiger,validation,1
ATRW_223,tiger,test,2
ATRW_223,tiger,train,8
ATRW_223,tiger,validation,4
ATRW_225,tiger,test,4
ATRW_225,tiger,train,14
ATRW_225,tiger,validation,6
ATRW_226,tiger,test,10
ATRW_228,tiger,test,2
ATRW_228,tiger,train,8
ATRW_228,tiger,validation,2
ATRW_229,tiger,test,2
ATRW_229,tiger,train,9
ATRW_229,tiger,validation,1
ATRW_231,tiger,test,4
ATRW_231,tiger,train,20
ATRW_231,tiger,validation,2
ATRW_232,tiger,test,3
ATRW_232,tiger,train,14
ATRW_232,tiger,validation,3
ATRW_234,tiger,test,15
ATRW_234,tiger,train,70
ATRW_234,tiger,validation,13
ATRW_235,tiger,test,15
ATRW_235,tiger,train,67
ATRW_235,tiger,validation,14
ATRW_237,tiger,test,6
ATRW_237,tiger,train,26
ATRW_237,tiger,validation,5
ATRW_238,tiger,test,3
ATRW_238,tiger,train,17
ATRW_238,tiger,validation,2
ATRW_24,tiger,test,2
ATRW_24,tiger,train,8
ATRW_24,tiger,validation,1
ATRW_240,tiger,test,2
ATRW_240,tiger,train,10
ATRW_240,tiger,validation,4
ATRW_243,tiger,test,6
ATRW_243,tiger,train,33
ATRW_243,tiger,validation,2
ATRW_244,tiger,test,4
ATRW_244,tiger,train,19
ATRW_246,tiger,test,7
ATRW_246,tiger,train,36
ATRW_246,tiger,validation,5
ATRW_247,tiger,test,5
ATRW_247,tiger,train,23
ATRW_247,tiger,validation,5
ATRW_249,tiger,test,6
ATRW_249,tiger,train,22
ATRW_249,tiger,validation,9
ATRW_25,tiger,test,2
ATRW_25,tiger,train,9
ATRW_25,tiger,validation,1
ATRW_250,tiger,test,3
ATRW_250,tiger,train,12
ATRW_250,tiger,validation,3
ATRW_252,tiger,test,2
ATRW_252,tiger,train,9
ATRW_252,tiger,validation,1
ATRW_253,tiger,test,2
ATRW_253,tiger,train,10
ATRW_253,tiger,validation,2
ATRW_255,tiger,test,2
ATRW_255,tiger,train,13
ATRW_256,tiger,test,3
ATRW_256,tiger,train,15
ATRW_256,tiger,validation,2
ATRW_258,tiger,test,8
ATRW_258,tiger,train,35
ATRW_258,tiger,validation,7
ATRW_259,tiger,test,2
ATRW_259,tiger,train,11
ATRW_259,tiger,validation,3
ATRW_261,tiger,test,4
ATRW_261,tiger,train,23
ATRW_261,tiger,validation,1
ATRW_262,tiger,test,70
ATRW_264,tiger,test,4
ATRW_264,tiger,train,18
ATRW_264,tiger,validation,4
ATRW_265,tiger,test,6
ATRW_265,tiger,train,25
ATRW_265,tiger,validation,7
ATRW_267,tiger,test,4
ATRW_267,tiger,train,16
ATRW_267,tiger,validation,3
ATRW_268,tiger,test,4
ATRW_268,tiger,train,22
ATRW_268,tiger,validation,1
ATRW_27,tiger,test,2
ATRW_27,tiger,train,8
ATRW_270,tiger,test,94
ATRW_271,tiger,test,2
ATRW_271,tiger,train,11
ATRW_271,tiger,validation,1
ATRW_273,tiger,test,2
ATRW_273,tiger,train,12
ATRW_273,tiger,validation,2
ATRW_274,tiger,test,2
ATRW_274,tiger,train,11
ATRW_28,tiger,test,2
ATRW_28,tiger,train,7
ATRW_28,tiger,validation,2
ATRW_3,tiger,test,3
ATRW_3,tiger,train,14
ATRW_3,tiger,validation,3
ATRW_30,tiger,test,2
ATRW_30,tiger,train,8
ATRW_30,tiger,validation,3
ATRW_31,tiger,test,3
ATRW_31,tiger,train,17
ATRW_31,tiger,validation,2
ATRW_33,tiger,test,2
ATRW_33,tiger,train,7
ATRW_33,tiger,validation,2
ATRW_34,tiger,test,2
ATRW_34,tiger,train,4
ATRW_34,tiger,validation,4
ATRW_36,tiger,test,3
ATRW_36,tiger,train,14
ATRW_36,tiger,validation,3
ATRW_37,tiger,test,3
ATRW_37,tiger,train,18
ATRW_37,tiger,validation,1
ATRW_39,tiger,test,2
ATRW_39,tiger,train,9
ATRW_39,tiger,validation,1
ATRW_4,tiger,test,4
ATRW_4,tiger,train,16
ATRW_4,tiger,validation,6
ATRW_40,tiger,test,2
ATRW_40,tiger,train,7
ATRW_40,tiger,validation,5
ATRW_42,tiger,test,2
ATRW_42,tiger,train,5
ATRW_42,tiger,validation,3
ATRW_43,tiger,test,2
ATRW_43,tiger,train,10
ATRW_43,tiger,validation,2
ATRW_45,tiger,test,2
ATRW_45,tiger,train,8
ATRW_45,tiger,validation,2
ATRW_46,tiger,test,3
