species,train,validation,test,total
cow,15971,2854,4640,23465
sea turtle,14059,2409,6241,22709
cat,8884,1515,2622,13021
dog,6590,1169,2261,10020
whale,5872,1037,1650,8559
zebra,5559,989,1826,8374
whaleshark,5153,918,1622,7693
chimpanzee,4698,883,1393,6974
panda,4656,843,1375,6874
leopard,4568,774,1464,6806
tiger,3653,672,1090,5415
hyena,2136,361,632,3129
dolphin,1848,275,534,2657
bird,1757,341,529,2627
sea star,1567,295,325,2187
seal,1425,243,412,2080
giraffe,1143,195,664,2002
nyala,1275,223,444,1942
polar bear,942,172,277,1391
chicken,770,146,230,1146
macaque,709,140,230,1079
fish,201,35,100,336
